date,hour,trading_MW,net_aFRR,restore_MW,imbalance_MWh,SOC_start_MWh,SOC_end_MWh,SOC_percent,P_dam,P_idm,P_bm_up,P_bm_down,P_imb_up,P_imb_down,is_feasible,trading_revenue,balancing_revenue,restoration_revenue,imbalance_revenue
2024-08-24,3,0,-11.054876851173642,11.594550015568508,0,16.184529882219078,15,10,5500,5497.98,5500,0.01,0.01,5775,1,-0,60801.82268145503,-63746.60409459534,0
2024-08-24,4,0,-20.28964274022103,24.06572935638398,0,15,15.318213617464323,10.212142411642882,5500,5497.47,5500,0.01,0.01,5775,1,-0,111593.03507121567,-132300.62516484025,0
2024-08-24,5,0,-0.3043595512007796,0,0,15.318213617464323,15,10,5500,5497.93,5500,0.01,0.01,5775,1,-0,1673.9775316042878,-0,0
2024-08-24,6,0,6.21959850319034,0,0,15,20.564625024016372,13.709750016010915,3080,3079.53,3080,0.01,0.01,3234,1,-0,-0.0621959850319034,-0,0
2024-08-24,7,0,20.68300342510274,0,0,20.564625024016372,39.069542724428395,26.046361816285597,3040,3039.4,3040,0.01,0.01,3192,1,-0,-0.20683003425102742,-0,0
2024-08-24,8,0,20.888554005129198,0,0,39.069542724428395,57.75836488438544,38.5055765895903,4679,4621.6,4679,0.01,0.01,4912.95,1,-0,-0.20888554005129198,-0,0
2024-08-24,9,0,8.438974372177368,0,0,57.75836488438544,65.30864774337756,43.53909849558504,4679,4634.03,4679,0.01,0.01,4912.95,1,-0,-0.08438974372177369,-0,0
2024-08-24,10,0,27.74723097702117,0,0,65.30864774337756,90.13387332067059,60.08924888044706,4300,4242.93,4300,0.01,0.01,4515,1,-0,-0.2774723097702117,-0,0
2024-08-24,11,0,-4.490770059990186,0,0,90.13387332067059,85.43868902186323,56.95912601457549,2450,2428.56,2450,0.01,0.01,2572.5,1,-0,11002.386646975954,-0,0
2024-08-24,12,35,31.208624011622945,-12.170329637795504,0,85.43868902186323,131.95070742838055,87.96713828558704,2100,2060.41,2100,0.01,0.01,2205,1,-73500,-0.31208624011622943,25075.86888901023,0
2024-08-24,13,0,3.4082036853123276,0,0,131.95070742838055,135,90,2450,2424.19,2450,0.01,0.01,2572.5,1,-0,-0.034082036853123276,-0,0
2024-08-24,14,35,5.636903786205528,-34.77461569089755,0,135,135,90,2000,1976.67,2000,0.01,0.01,2100,1,-70000,-0.05636903786205528,68737.93959772646,0
2024-08-24,15,0,-13.267994119296025,0,0,135,121.12806337590055,80.75204225060037,4350,4299.22,4350,0.01,0.01,4567.5,1,-0,57715.77441893771,-0,0
2024-08-24,16,0,-18.28496308163942,0,0,121.12806337590055,102.01079163445377,68.00719442296918,4600,4546.14,4600,0.01,0.01,4830,1,-0,84110.83017554134,-0,0
2024-08-24,17,0,-29.336817830588227,-23.06736033667037,0,102.01079163445377,47.22124079217487,31.480827194783245,6500,6357.5,6500,0.03,0.03,6825,1,-0,190689.31589882346,146650.74334038186,0
2024-08-24,18,0,-8.79051766035521,0,0,47.22124079217487,38.03058975773317,25.353726505155446,8500,8459.05,8500,0.06,0.06,8925,1,-0,74719.40011301929,-0,0
2024-08-24,19,0,34.16315713349788,0,0,38.03058975773317,68.59609313981666,45.73072875987777,8945.86,8781.65,10000,8945.86,8498.57,10500,1,-0,-305618.82087427337,-0,0
2024-08-24,20,-35,12.608432771422153,0,0,68.59609313981666,43.28360082957839,28.855733886385593,9000,8989.91,10000,9000,8550,10500,1,315000,-113475.89494279938,-0,0
2024-08-24,21,-35,14.149154945589599,0,0,43.28360082957839,19.349580322790345,12.899720215193565,9000,8988.86,9000,260,247,9450,1,315000,-3678.7802858532955,-0,0
2024-08-24,22,0,32.259361279231186,-18.50715764427702,0,19.349580322790345,28.86219246163791,19.24146164109194,8900,8762.74,8900,274.12,260.41,9345,1,-0,-8842.936113862852,162173.410575812,0
2024-08-24,23,0,-12.684768255593825,-14.920850932841754,0,28.86219246163791,0,0,6780,6770.3,7883.13,0.01,0.01,7119,-0,-0,99995.67717871936,101018.63707061853,0
2024-08-25,0,0,13.368080177029052,3.397465955047684,0,0,15,10,2930,2929.32,6599.93,0.01,0.01,3076.5,1,-0,-0.1336808017702905,-9952.264971440281,0
2024-08-25,1,0,30.54838348033613,0,0,15,42.331394312788895,28.220929541859267,5000,4990.03,6599.92,0.01,0.01,5250,1,-0,-0.30548383480336133,-0,0
2024-08-25,2,0,1.947235822977609,-26.6520240836665,0,42.331394312788895,16.208379725846047,10.805586483897365,4745,4720.03,4745,0.01,0.01,4982.25,1,-0,-0.01947235822977609,125798.35323562838,0
2024-08-25,3,0,31.90829134613826,-15.502715497721885,0,16.208379725846047,28.548093001059133,19.032062000706087,4745,4708.4,4745,0.01,0.01,4982.25,1,-0,-0.3190829134613826,72992.98564947372,0
