date,hour,net_aFRR,max_aFRR,min_aFRR,trading_MW,restore_MW,imbalance_MWh,is_feasible,SOC_start_MWh,SOC_end_MWh,SOC_percent,P_dam,P_idm,P_bm_up,P_bm_down,P_imb_up,P_imb_down,trading_revenue,balancing_revenue,restoration_revenue,imbalance_revenue
2025-09-16,22,31.40204596489808,31.40204596489808,0.5888741377844776,0,0,0,1,60.802886182345325,88.89804549077192,59.265363660514616,8000,7922.82,15999.91,399.08,90.92,8400,-0,-12531.928503671525,-0,0
2025-09-16,23,-3.1353793047699683,3.191792124894578,-11.645264899624202,0,0,0,1,88.89804549077192,85.6199476398671,57.079965093244745,6000,5968.28,8249.9,611.25,4.55,6300,-0,25866.56572642176,-0,0
2025-09-17,0,28.4554141201777,28.4554141201777,0.4791741121724917,0,0,0,1,85.6199476398671,111.07877900987714,74.05251933991809,4849,4844.96,6264.27,36.12,4606.55,6718.25,-0,-1027.8095580208185,-0,0
2025-09-17,1,2.4801466857754715,3.7739490689335518,0.6568297203466408,0,-5.539389504938569,0,1,111.07877900987714,107.50621081855019,71.6708072123668,3780,3750.65,6162.51,0.01,0.01,3969,-0,-0.024801466857754716,20776.311246697845,0
2025-09-17,2,14.094494932298163,14.644286451572787,0.2540691860209612,0,-3.7531054092750935,0,1,107.50621081855019,116.19250060310559,77.46166706873706,3490,3404.57,5622.46,2.65,0.01,3664.5,-0,-37.35041157059013,12777.710083255706,0
2025-09-17,3,-18.256815680845836,0.08934764401812882,-18.339685867169592,0,-8.096250301552793,0,1,116.19250060310559,88.63987600351456,59.09325066900971,2300,2331.76,5647.28,0.01,0.01,2415,-0,103101.35005812706,18878.51260314874,0
2025-09-17,4,-4.858227717129394,-0.001177554217511645,-4.858227717129394,0,0,0,1,88.63987600351456,83.56050783440672,55.707005222937816,2850,2802.35,5769,0.01,0.01,2992.5,-0,28027.115700119477,-0,0
2025-09-17,5,-6.171088816875139,0.48691209603481916,-6.802431083989401,0,0,0,1,83.56050783440672,77.10851876961787,51.40567917974525,3000,3128.95,6328.32,16.29,2850,6929.9,-0,39052.62478160728,-0,0
2025-09-17,6,8.616085818631793,13.114817663286903,0.17135528156129945,0,0,0,1,77.10851876961787,84.81726182286118,56.54484121524079,4871,4963.22,6549.52,615.09,4627.45,6929.91,-0,-5299.66822618223,-0,0
2025-09-17,7,-0.9093371147885683,1.5353368168968387,-5.211280062987288,0,0,0,1,84.81726182286118,83.86653281945115,55.9110218796341,6850,6620.77,8225.06,606.19,6507.5,8662.48,-0,7479.3523293628605,-0,0
2025-09-17,8,-0.41240307500627343,-0.0661017181863753,-9.61260281582772,0,0,0,1,83.86653281945115,83.43535767205259,55.6235717813684,6840,6816.93,8189.79,375.62,6498,8662.5,-0,3377.494579655628,-0,0
2025-09-17,9,16.15771668540371,16.15771668540371,-4.727770180517692,0,0,0,1,83.43535767205259,97.89153752874981,65.26102501916654,6800,6701.7,8250,0.01,6460,8662.5,-0,-0.16157716685403709,-0,0
2025-09-17,10,-2.0772993288094552,1.7828650274567066,-2.83021649741023,0,0,0,1,97.89153752874981,95.71968213151075,63.81312142100716,4500,4632.8,7564.04,4.81,4275,8118.81,-0,15712.775215087871,-0,0
2025-09-17,11,18.60505130322916,18.60505130322916,-1.7481869340901734,0,0,0,1,95.71968213151075,112.36547269209946,74.91031512806632,1380,1908.68,7500,1.32,1311,7875,-0,-24.55866772026249,-0,0
2025-09-17,12,1.6866334846687043,4.922615240260341,0.6368895667531141,35,-6.1827363460497295,0,1,112.36547269209946,138.72454340283483,92.48302893522322,100,202.97,7943.22,0.7,95,8450.13,-3500,-1.180643439268093,1254.9099961577135,0
2025-09-17,13,1.1637428573291546,4.904989703432753,0.3296391094409079,35,-19.362271701417413,0.9347761292011405,0,138.72454340283483,150,100,501,504.11,7641.55,5.08,475.95,8243.88,-17535,-5.911813715232105,9760.714787401532,7706.182235998697
2025-09-17,14,-5.063559527616638,1.533049775070198,-5.5380695664878425,0,-25,0,1,150,118.5679848278327,79.04532321855513,1400,1665.71,8044.54,4.8,1330,8662.41,-0,40734.00716229315,41642.75,0
2025-09-17,15,0.8019159061465346,6.205895888241051,0.18108354975626964,0,-9.283992413916351,0,1,118.5679848278327,109.57886443188677,73.05257628792452,4390,4350.77,7991.73,5.3,4170.5,8662.41,-0,-4.250154302576633,40392.51567469485,0
